Date,Open,High,Low,Close,Adj Close,Volume
10-08-2021,3315.600098,3349.899902,3315.600098,3333.899902,3185.072998,2040777
11-08-2021,3350,3360,3327.100098,3344.199951,3194.912598,1929707
12-08-2021,3326,3368,3326,3351.75,3202.125732,1310205
13-08-2021,3360.75,3480,3357.5,3463.399902,3308.791504,4363584
16-08-2021,3460,3494.350098,3436.5,3472.949951,3317.915283,2083489
17-08-2021,3482.100098,3560.800049,3463,3553.050049,3394.439697,4336019
18-08-2021,3573.850098,3595,3536.600098,3560.550049,3401.604736,2631309
20-08-2021,3506,3575,3500,3559.5,3400.602295,2836148
23-08-2021,3580,3673,3561.899902,3637.399902,3475.023926,3744176
24-08-2021,3657,3667.350098,3594.399902,3613.199951,3451.904297,2511141
25-08-2021,3610,3697.75,3607.050049,3659,3495.659912,2123263
26-08-2021,3660,3687.600098,3647.899902,3671.850098,3507.936279,1902533
27-08-2021,3666,3729.5,3651.100098,3720.149902,3554.07959,3944728
30-08-2021,3715,3740.350098,3687.600098,3701.300049,3536.071533,2033114
31-08-2021,3709.399902,3804.100098,3703.449951,3786.449951,3617.420166,3207480
01-09-2021,3796,3816.699951,3707,3714.949951,3549.112305,2643336
02-09-2021,3734,3859.149902,3722,3836.75,3665.474854,3403717
03-09-2021,3825,3856.899902,3804.550049,3842.050049,3670.538574,1746812
06-09-2021,3849.699951,3877.600098,3814,3852,3680.044189,1723693
07-09-2021,3864,3869.949951,3808.25,3815.899902,3645.555664,1585039
08-09-2021,3810,3815,3756,3774.149902,3605.669434,4147175
09-09-2021,3789.699951,3808.699951,3765,3791.399902,3622.14917,1441148
13-09-2021,3767,3852.399902,3767,3845.350098,3673.690918,1691473
14-09-2021,3849.949951,3896.5,3825,3885.899902,3712.430664,1991188
15-09-2021,3882.100098,3980,3866,3954.550049,3778.016357,2461369
16-09-2021,3930,3981.75,3892.100098,3903.300049,3729.054199,2946666
17-09-2021,3920,3945,3805,3827.850098,3656.972412,6477148
20-09-2021,3809,3871,3807.850098,3823.5,3652.816406,2002008
21-09-2021,3858,3871.550049,3821.649902,3862.949951,3690.505371,1568129
22-09-2021,3862.5,3896.850098,3852.449951,3862.149902,3689.740967,1744067
23-09-2021,3870,3879,3835,3869.25,3696.524414,2003869
24-09-2021,3890,3944.399902,3855,3871.300049,3698.48291,2320754
27-09-2021,3900,3904,3802.899902,3836.949951,3665.666016,1673362
28-09-2021,3850,3850,3751.25,3779.149902,3610.446289,2253075
29-09-2021,3759.800049,3806,3722.149902,3791.899902,3622.626953,2489161
30-09-2021,3805,3805,3750.100098,3775.550049,3607.00708,2252412
01-10-2021,3781.75,3810,3725,3730.199951,3563.681396,1578374
04-10-2021,3724.800049,3783.649902,3707.449951,3773.300049,3604.857666,1356860
05-10-2021,3754,3840,3741.600098,3833.300049,3662.179199,1877966
06-10-2021,3836,3857.449951,3795,3810.899902,3640.778564,1678154
07-10-2021,3830,3899,3820.050049,3892.899902,3719.118164,1647233
08-10-2021,3925,3989.899902,3900,3935.649902,3759.959717,2934339
11-10-2021,3755,3757.5,3660,3685.600098,3521.072754,11845402
12-10-2021,3706,3707,3630.600098,3652.850098,3489.784424,5752877
13-10-2021,3650,3675.449951,3645,3655.199951,3492.029297,3545655
14-10-2021,3625,3670,3608.199951,3611.449951,3456.852539,6442299
18-10-2021,3603.449951,3652.699951,3601.449951,3647.149902,3491.02417,3590107
19-10-2021,3669,3690.100098,3625.199951,3634.149902,3478.580811,3135441
20-10-2021,3612,3630,3578.300049,3608.850098,3454.364502,2933693
21-10-2021,3604.100098,3607.449951,3511.25,3532.5,3381.282471,4871211
22-10-2021,3560,3561.600098,3485,3498.850098,3349.072754,2691670
25-10-2021,3503,3514.550049,3450,3492.949951,3343.425293,2595594
26-10-2021,3494.5,3529,3475,3482.600098,3333.518799,3878763
27-10-2021,3483,3511.25,3483,3489.75,3340.362305,2510813
28-10-2021,3518,3518,3415,3421.649902,3275.17749,2424942
29-10-2021,3400.050049,3461,3385.949951,3397.75,3252.300781,3960501
01-11-2021,3437.949951,3487,3412.949951,3476.399902,3327.583984,2020718
02-11-2021,3494,3513.600098,3469.75,3484.199951,3335.050049,3087414
03-11-2021,3504.199951,3519.899902,3466.050049,3492.25,3342.755371,1537639
04-11-2021,3512.949951,3513.25,3505,3508.649902,3358.453369,328991
08-11-2021,3548,3548,3481.199951,3502.75,3352.805664,2526082
09-11-2021,3508,3535,3496,3505.699951,3355.62915,1782692
